,시도교육청,자료명,"파일명(활동명, 자료제목)",자료유형,활동 유형,학교급,시간(차시),과목명,환경교육역량,장소,환경주제,SDGs목표,교수학습방법,성취기준
18,서울,2025 지속 가능한 미래를 여는 생태 전환 교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (학생용)_2,학생용 활동지,교육과정 연계,초등학교(1~2),,기타,"환경감수성, 환경 정보 활용 능력","일반교실, 학교밖",자연환경,육상생태계,"관찰, 놀이","[2바01-04] 생태환경에서 더불어 살기 위해 노력한다. 
[2슬01-04] 사람과 자연, 동식물이 어우러져 사는 생태를 탐구한다. 
[2즐01-04] 우리를 둘러싼 자연의 아름다움을 감상한다."
19,서울,2025 지속 가능한 미래를 여는 생태 전환 교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (학생용)_3,학생용 활동지,교육과정 연계,초등학교(1~2),,"기타, 국어",창의적 문제해결 역량,일반교실,자연환경,해양생태계,"놀이,","[2바01-04] 생태환경에서 더불어 살기 위해 노력한다. 
[2슬01-04] 사람과 자연, 동식물이 어우러져 사는 생태를 탐구한다. 
[2즐01-04] 우리를 둘러싼 자연의 아름다움을 감상한다. 
[2바04-04] 지금까지의 생활습관과 학습습관을 되돌아본다. 
[2국01-03] 상대의 말을 집중하여 듣고 말차례를 지키며 대화한다. 
[2국01-04] 자신의 경험이나 생각을 바른 자세로 발표한다."
20,서울,2025 지속 가능한 미래를 여는 생태 전환 교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (학생용)_4,학생용 활동지,교육과정 연계,초등학교(1~2),,"기타, 국어","환경 정보 활용 능력, 창의적 문제해결 역량",일반교실,생활환경,지속가능한 생산과 소비,"놀이,","[2바04-04] 지금까지의 생활습관과 학습습관을 되돌아본다. 
[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다.
[2바04-01] 모두를 위한 생활환경을 만드는 데 참여한다. 
[2슬03-04] 우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다. 
[2국01-03] 상대의 말을 집중하여 듣고 말차례를 지키며 대화한다. 
[2국01-04] 자신의 경험이나 생각을 바른 자세로 발표한다."
21,서울,2025 지속 가능한 미래를 여는 생태 전환 교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (학생용)_5,학생용 활동지,교육과정 연계,초등학교(1~2),,"국어, 기타","시스템 사고, 창의적 문제해결 역량",일반교실,지구환경,기후변화,"조사, 창작","[2국05-02] 작품을 듣거나 읽으면서 느끼거나 생각한 점을 말한다. 
[2바02-01] 공동체에서 내가 할 수 있는 일을 찾아보고 실천한다. 
[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다. 
[2슬03-04] 우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다. 
[2즐04-03] 생각이나 느낌을 살려 전시나 공연 활동을 한다."
22,서울,2025 지속 가능한 미래를 여는 생태 전환 교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (학생용)_6,학생용 활동지,교육과정 연계,초등학교(1~2),,기타,환경 정보 활용 능력,일반교실,생활환경,"지속가능한 생산과 소비, 빈곤퇴치","조사, 토의와 토론","[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다.
[2슬03-04] 우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다.
[2즐03-04] 안전과 안녕을 위한 아동의 권리가 있음을 알고 누린다."
23,서울,2025 지속 가능한 미래를 여는 생태 전환 교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (학생용)_7,학생용 활동지,교육과정 연계,초등학교(1~2),,기타,시스템 사고,일반교실,지구환경,지속가능한 에너지,"조사,","[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다.
[2슬04-03] 경험한 것 중에서 관심 있는 주제를 정하고 조사한다. 
[2슬03-01] 하루의 변화와 사람들이 하루를 살아가는 모습을 탐색한다. 
[2슬02-01] 우리가 살고 있는 마을과 사람들이 생활하는 모습을 살펴본다."
24,서울,2025 지속 가능한 미래를 여는 생태 전환 교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (학생용)_8,학생용 활동지,교육과정 연계,초등학교(1~2),,"국어, 기타","환경감수성, 협동과공동체 역량",일반교실,지구환경,기후변화,"놀이,","[2국01-04] 자신의 경험이나 생각을 바른 자세로 발표한다. 
[2국03-04] 겪은 일을 표현하는 글을 자유롭게 쓰고, 쓴 글을 함께 읽고 생각이나 느낌을 나눈다. 
[2바01-01] 학교생활 습관과 학습 습관을 형성하여 안전하고 건강하게 생활한다.
[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다. 
[2슬03-04] 우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다.
[2즐04-03] 생각이나 느낌을 살려 전시나 공연 활동을 한다."
25,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_1,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"국어, 미술","협동과공동체 역량, 창의적 문제해결 역량",일반교실,지구환경,기후변화,"토의와 토론, 창작","[4국02-02] 문단과 글에서 중심 생각을 파악하고 내용을 간추린다. 
[4미02-04] 표현 의도를 가지고 작품을 제작하며 자기 작품을 소중히 여길 수 있다."
26,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_2,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"사회, 체육","시스템 사고, 환경감수성",일반교실,지구환경,기후변화,"조사, 해설,","[4사03-01] 최근 사회 변화의 양상과 특징을 파악하고, 그로 인해 나타난 생활모습의 변화를 탐색한다. 
[4체01-04] 건강을 위한 바른 생활 습관을 이해하고 생활 속에서 규칙적으로 실천한다."
27,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_3,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"도덕, 미술","환경감수성, 협동과공동체 역량",일반교실,생활환경,건강한 삶과 웰빙,"조사, 창작, 해설","[4도04-02] 인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다. 
[4미01-03] 미적 탐색에 호기심을 갖고 참여하며 자신의 감각으로 대상의 특징을 이해할 수 있다."
28,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_4,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"사회, 과학","창의적 문제해결 역량, 시스템 사고",일반교실,생활환경,지속가능한 생산과 소비,"조사, 창작, 토의와 토론","[4사09-01] 생활 주변에서 찾을 수 있는 여러 가지 문제를 파악하고, 그 문제를 합리적으로 해결하는 능력을 기른다. 
[4과14-03] 인간 활동이 생태계에 미치는 영향을 조사하고, 생태계 보전을 위해 우리가 할 수 있는 일을 토의하여 실천할 수 있다."
29,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_5,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"국어, 미술","시스템 사고, 창의적 문제해결 역량",일반교실,지구환경,지속가능한 에너지,"창작, 관찰, 놀이","[4국03-03] 대상에 대한 자신의 의견과 그렇게 생각한 이유가 드러나게 글을 쓴다. 
[4미01-04] 생활 속에서 활용되는 미술에 관심을 가지고 미술의 특징과 역할을 발견할 수 있다."
30,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_6,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"국어, 사회","협동과공동체 역량, 창의적 문제해결 역량",일반교실,생활환경,지속가능한 도시개발,"토의와 토론, 프로젝트","[4국01-06] 주제에 적절한 의견과 이유를 제시하고 서로의 생각을 교환하며 토의한다. 
[4사08-02] 지역에서 이루어지는 민주주의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회의 문제 해결에 참여하는 태도를 기른다."
31,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_7,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"도덕, 국어","환경감수성, 시스템 사고",일반교실,자연환경,육상생태계,"조사, 토의와 토론","[4도04-02] 인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다. 
[4국01-06] 주제에 적절한 의견과 이유를 제시하고 서로의 생각을 교환하며 토의한다."
32,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_8,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"사회, 국어","협동과공동체 역량, 환경감수성",일반교실,지구환경,기후변화,"조사, 창작","[4사08-02] 지역에서 이루어지는 민주주의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회의 문제 해결에 참여하는 태도를 기른다. 
[4국03-03] 대상에 대한 자신의 의견과 그렇게 생각한 이유가 드러나게 글을 쓴다."
33,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_9,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"도덕, 사회","협동과공동체 역량, 환경감수성",일반교실,지구환경,모든 형태의 불평등 해소,"조사,","[4도04-02] 인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다. 
[4사03-02] 우리 사회에 다양한 문화가 확산되면서 나타나는 긍정적 효과와 문제를 분석하고, 나와 다른 사람이나 집단의 문화를 존중하는 태도를 기른다."
34,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(교사용)_10,교사용 수업 지도안,교육과정 연계,초등학교(3~4),1,"국어, 미술","협동과공동체 역량, 창의적 문제해결 역량",일반교실,환경문화,평화롭고 정의롭고 포용적인 제도 구축,"토의와 토론, 창작","[4국01-06] 주제에 적절한 의견과 이유를 제시하고 서로의 생각을 교환하며 토의한다. 
[4미02-05] 미술과 타 교과를 관련지어 주제를 표현하는데 흥미를 가질 수 있다."
35,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_1,학생용 활동지,교육과정 연계,초등학교(3~4),1,"국어, 미술","협동과공동체 역량, 창의적 문제해결 역량",일반교실,지구환경,기후변화,"토의와 토론, 창작","[4국02-02] 문단과 글에서 중심 생각을 파악하고 내용을 간추린다. 
[4미02-04] 표현 의도를 가지고 작품을 제작하며 자기 작품을 소중히 여길 수 있다."
36,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_2,학생용 활동지,교육과정 연계,초등학교(3~4),1,"사회, 체육","시스템 사고, 환경감수성",일반교실,지구환경,기후변화,"조사,","[4사03-01] 최근 사회 변화의 양상과 특징을 파악하고, 그로 인해 나타난 생활모습의 변화를 탐색한다.
[4체01-04] 건강을 위한 바른 생활 습관을 이해하고 생활 속에서 규칙적으로 실천한다."
37,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_3,학생용 활동지,교육과정 연계,초등학교(3~4),1,"도덕, 미술","환경감수성, 협동과공동체 역량",일반교실,생활환경,건강한 삶과 웰빙,"조사, 창작","[4도04-02] 인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다. 
[4미01-03] 미적 탐색에 호기심을 갖고 참여하며 자신의 감각으로 대상의 특징을 이해할 수 있다."
38,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_4,학생용 활동지,교육과정 연계,초등학교(3~4),1,"사회, 과학","창의적 문제해결 역량, 시스템 사고",일반교실,생활환경,지속가능한 생산과 소비,"조사, 창작, 토의와 토론","[4사09-01] 생활 주변에서 찾을 수 있는 여러 가지 문제를 파악하고, 그 문제를 합리적으로 해결하는 능력을 기른다. 
[4과14-03] 인간 활동이 생태계에 미치는 영향을 조사하고, 생태계 보전을 위해 우리가 할 수 있는 일을 토의하여 실천할 수 있다."
39,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_5,학생용 활동지,교육과정 연계,초등학교(3~4),1,"국어, 미술","시스템 사고, 창의적 문제해결 역량",일반교실,지구환경,지속가능한 에너지,"창작, 관찰, 실험과 실험과 실습","[4국03-03] 대상에 대한 자신의 의견과 그렇게 생각한 이유가 드러나게 글을 쓴다. 
[4미01-04] 생활 속에서 활용되는 미술에 관심을 가지고 미술의 특징과 역할을 발견할 수 있다."
40,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_6,학생용 활동지,교육과정 연계,초등학교(3~4),1,"국어, 사회","협동과공동체 역량, 창의적 문제해결 역량",일반교실,생활환경,지속가능한 도시개발,"토의와 토론, 프로젝트","[4국01-06] 주제에 적절한 의견과 이유를 제시하고 서로의 생각을 교환하며 토의한다. 
[4사08-02] 지역에서 이루어지는 민주주의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회의 문제 해결에 참여하는 태도를 기른다."
41,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_7,학생용 활동지,교육과정 연계,초등학교(3~4),1,"도덕, 국어","환경감수성, 시스템 사고",일반교실,자연환경,육상생태계,"조사, 토의와 토론","[4도04-02] 인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다. 
[4국01-06] 주제에 적절한 의견과 이유를 제시하고 서로의 생각을 교환하며 토의한다."
42,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_8,학생용 활동지,교육과정 연계,초등학교(3~4),1,"사회, 국어","협동과공동체 역량, 환경감수성",일반교실,지구환경,기후변화,"조사, 창작","[4사08-02] 지역에서 이루어지는 민주주의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회의 문제 해결에 참여하는 태도를 기른다. 
[4국03-03] 대상에 대한 자신의 의견과 그렇게 생각한 이유가 드러나게 글을 쓴다."
43,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_9,학생용 활동지,교육과정 연계,초등학교(3~4),1,"도덕, 사회","협동과공동체 역량, 환경감수성",일반교실,지구환경,모든 형태의 불평등 해소,"조사,","[4도04-02] 인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다. 
[4사03-02] 우리 사회에 다양한 문화가 확산되면서 나타나는 긍정적 효과와 문제를 분석하고, 나와 다른 사람이나 집단의 문화를 존중하는 태도를 기른다."
44,서울,2025 생태전환교육(초3~4),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초3~4)(학생용)_10,학생용 활동지,교육과정 연계,초등학교(3~4),1,"국어, 미술","협동과공동체 역량, 창의적 문제해결 역량",일반교실,환경문화,평화롭고 정의롭고 포용적인 제도 구축,"토의와 토론, 창작","[4국01-06] 주제에 적절한 의견과 이유를 제시하고 서로의 생각을 교환하며 토의한다. 
[4미02-05] 미술과 타 교과를 관련지어 주제를 표현하는데 흥미를 가질 수 있다."
45,서울,2025 생태전환교육(초5~6),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초5~6)(교사용)_1,교사용 수업 지도안,교육과정 연계,초등학교(5~6),1,"국어, 실과",환경 정보 활용 능력,일반교실,지구환경,기후변화,"토의와 토론, 프로젝트","[6국02-01] 글의 구조를 고려하며 주제나 주장을 파악하고 글 내용을 요약한다. 
[6실01-06] 가정일을 수행하는 과정에서 일의 가치와 중요성을 이해하고, 가정생활을 유지하는 데 필요한 가정일의 종류를 탐색한다."
46,서울,2025 생태전환교육(초5~6),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초5~6)(교사용)_2,교사용 수업 지도안,교육과정 연계,초등학교(5~6),1,"사회, 국어","시스템 사고, 환경감수성",일반교실,지구환경,기후변화,"조사, 해설","[6사12-02] 지구촌을 위협하는 다양한 문제들을 파악하고, 지속가능한 미래를 위한 해결 방안을 탐색한다. 
[6국01-06] 토의에 협력적으로 참여하며 서로의 의견을 비교하고 조정한다."
47,서울,2025 생태전환교육(초5~6),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초5~6)(교사용)_3,교사용 수업 지도안,교육과정 연계,초등학교(5~6),1,"실과, 국어","협동과공동체 역량, 환경감수성",일반교실,생활환경,빈곤퇴치,"조사, 창작","[6실01-04] 균형 잡힌 식사의 중요성과 조건을 탐색하여 자신의 식습관을 검토해 보고 건강한 식습관 형성에 적용한다. 
[6국03-02] 적절한 근거를 사용하고 인용의 출처를 밝히며 주장하는 글을 쓴다."
48,서울,2025 생태전환교육(초5~6),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초5~6)(교사용)_4,교사용 수업 지도안,교육과정 연계,초등학교(5~6),1,사회,"창의적 문제해결 역량, 환경 정보 활용 능력",일반교실,생활환경,지속가능한 생산과 소비,"조사, 토의와 토론","[6사02-01] 우리나라의 계절별 기후 특징을 자료에서 탐구하고, 기후변화로 인한 자연재해의 심각성을 이해한다. 
[6사12-02] 지구촌을 위협하는 다양한 문제들을 파악하고, 지속가능한 미래를 위한 해결 방안을 탐색한다."
49,서울,2025 생태전환교육(초5~6),서울_2025 지속 가능한 미래를 여는 생태 전환 교육(초5~6)(교사용)_5,교사용 수업 지도안,교육과정 연계,초등학교(5~6),1,"국어, 도덕","환경감수성, 협동과공동체 역량",일반교실,자연환경,해양생태계,"프로젝트, 창작","[6국01-05] 자료를 선별하여 핵심 정보를 중심으로 내용을 구성하고 매체를 활용하여 발표한다. 
[6도04-02] 지속가능한 삶의 의미를 탐구하고 미래 세대에 대한 책임을 강화하여 자연의 다양성을 존중하고 생산성을 유지할 수 있는 미래를 위한 실천 방안을 찾는다."
